,recipe,item_name
0,Spaghetti Dinner,"Ground beef, 100% beef, per lb. (453.6 gm)"
1,Spaghetti Dinner,"Tomatoes, field grown, per lb. (453.6 gm)"
2,Spaghetti Dinner,"Spaghetti and macaroni, per lb. (453.6 gm)"
3,Spaghetti Dinner,"Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz)"
4,Steak and Potato Dinner,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)"
5,Steak and Potato Dinner,"Potatoes, white, per lb. (453.6 gm)"
6,Steak and Potato Dinner,"Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz)"
7,Grilled Cheese with Tomato Soup,"Bread, white, pan, per lb. (453.6 gm)"
8,Grilled Cheese with Tomato Soup,"Cheddar cheese, natural, per lb. (453.6 gm)"
9,Grilled Cheese with Tomato Soup,"Tomatoes, field grown, per lb. (453.6 gm)"
10,Eggs & Bacon with Toast & Coffee,"Eggs, Grade A/AA, large, per doz."
11,Eggs & Bacon with Toast & Coffee,"Bacon, sliced, per lb. (453.6 gm)"
12,Eggs & Bacon with Toast & Coffee,"Bread, white, pan, per lb. (453.6 gm)"
13,Eggs & Bacon with Toast & Coffee,"Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm)"
14,Ice Cream & Cookies,"Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit)"
15,Ice Cream & Cookies,"Cookies, chocolate chip, per lb. (453.6 gm)"
16,Ice Cream & Cookies,"Bananas, per lb. (453.6 gm)"
17,Burger with Chips,"Bread, white, pan, per lb. (453.6 gm)"
18,Burger with Chips,"Ground beef, 100% beef, per lb. (453.6 gm)Cheddar cheese, natural, per lb. (453.6 gm)"
19,Burger with Chips,"Potato chips, per 16 oz."
